,joint_str,wrkt_str,target,output
1553,ME Get in shape Relationship Health learn keyboard for 30 min interests group,Reply to IV request,,-1
1554,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,Reply to IV request,,-1
1555,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Reply to IV request,,-1
1556,Research NS2.0 notes,Reply to IV request,,-1
1557,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,Reply to IV request,,-1
1558,Research GAN-GPT read GPT read Electra,Reply to IV request,,-1
1559,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,Reply to IV request,,-1
1560,Research Reading MLsys seminar,Reply to IV request,,-1
1561,Research verint proposal Proposal,Reply to IV request,,-1
1562,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,Reply to IV request,,-1
1563,Research Bi/PolyEncoder,Reply to IV request,,-1
1564,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,Reply to IV request,,-1
1565,Research Pathway to Open Source Grant notes follow up with one pager exec summary,Reply to IV request,,-1
1566,Research Hitach/AVTN VILD Repo Notes,Reply to IV request,,-1
1567,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Reply to IV request,,-1
1568,Research Community Exposure,Reply to IV request,,-1
1569,Research cisco reach out to Kris on the cisco meeting first draft of the slides,Reply to IV request,,-1
1570,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,Reply to IV request,,-1
1571,Umich clear emails MPACE,Reply to IV request,,-1
1572,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Reply to IV request,,-1
1573,Green Card I-485 Final filling todo,Reply to IV request,,-1
1574,Green Card I-485,Reply to IV request,,-1
1575,Myca Myca Product Myca standup prepare for LL weekly,Reply to IV request,,-1
1576,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,Reply to IV request,,-1
1577,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki Fix myca dev server fix Lingjia bug,Reply to IV request,,-1
1578,Jaseci open source,think about how to use it for Myca,Bi-encoder,-1
1579,Jaseci Bi-encoder,think about how to use it for Myca,Bi-encoder,1
1580,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder,think about how to use it for Myca,Bi-encoder,-1
1581,Jaseci open source,plan how to clean up myca dataset,Bi-encoder,-1
1582,Jaseci Bi-encoder think about how to use it for Myca,plan how to clean up myca dataset,Bi-encoder,1
1583,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder,plan how to clean up myca dataset,Bi-encoder,-1
1584,Jaseci open source,ask about HOA fee breakdown,Financial,-1
1585,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,ask about HOA fee breakdown,Financial,-1
1586,Jaseci JPS,ask about HOA fee breakdown,Financial,-1
1587,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,ask about HOA fee breakdown,Financial,-1
1588,Financial,ask about HOA fee breakdown,Financial,1
1589,Jaseci open source,retirement account portfolio,Financial,-1
1590,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,retirement account portfolio,Financial,-1
1591,Jaseci JPS,retirement account portfolio,Financial,-1
1592,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,retirement account portfolio,Financial,-1
1593,Financial ask about HOA fee breakdown,retirement account portfolio,Financial,1
1594,Jaseci open source,figure out credit score situation,Financial,-1
1595,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,figure out credit score situation,Financial,-1
1596,Jaseci JPS,figure out credit score situation,Financial,-1
1597,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,figure out credit score situation,Financial,-1
1598,Financial ask about HOA fee breakdown retirement account portfolio,figure out credit score situation,Financial,1
1599,Jaseci open source,figure out retirement account transfer details,Financial,-1
1600,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,figure out retirement account transfer details,Financial,-1
1601,Jaseci JPS,figure out retirement account transfer details,Financial,-1
1602,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,figure out retirement account transfer details,Financial,-1
1603,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation,figure out retirement account transfer details,Financial,1
1604,Jaseci open source,start doing monthly budgeting,Financial,-1
1605,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,start doing monthly budgeting,Financial,-1
1606,Jaseci JPS,start doing monthly budgeting,Financial,-1
1607,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,start doing monthly budgeting,Financial,-1
1608,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details,start doing monthly budgeting,Financial,1
1609,Jaseci open source,old bank account,Financial,-1
1610,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,old bank account,Financial,-1
1611,Jaseci JPS,old bank account,Financial,-1
1612,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,old bank account,Financial,-1
1613,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting,old bank account,Financial,1
1614,Jaseci open source,timecard,Financial,-1
1615,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,timecard,Financial,-1
1616,Jaseci JPS,timecard,Financial,-1
1617,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,timecard,Financial,-1
1618,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account,timecard,Financial,1
1619,Jaseci open source,go to BOA,Financial,-1
1620,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,go to BOA,Financial,-1
1621,Jaseci JPS,go to BOA,Financial,-1
1622,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,go to BOA,Financial,-1
1623,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard,go to BOA,Financial,1
1624,Jaseci open source,weight,Get in shape,-1
1625,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,weight,Get in shape,-1
1626,Jaseci JPS,weight,Get in shape,-1
1627,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,weight,Get in shape,-1
1628,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,weight,Get in shape,-1
1629,ME Get in shape,weight,Get in shape,1
1630,ME Get in shape,weight,Get in shape,-1
1631,Jaseci open source,Low Carb/Carnivore,Get in shape,-1
1632,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Low Carb/Carnivore,Get in shape,-1
1633,Jaseci JPS,Low Carb/Carnivore,Get in shape,-1
1634,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,Low Carb/Carnivore,Get in shape,-1
1635,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Low Carb/Carnivore,Get in shape,-1
1636,ME Get in shape weight,Low Carb/Carnivore,Get in shape,1
1637,ME Get in shape,Low Carb/Carnivore,Get in shape,-1
1638,Jaseci open source,workout,Get in shape,-1
1639,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,workout,Get in shape,-1
1640,Jaseci JPS,workout,Get in shape,-1
1641,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS,workout,Get in shape,-1
1642,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,workout,Get in shape,-1
1643,ME Get in shape weight Low Carb/Carnivore,workout,Get in shape,1
1644,ME Get in shape,workout,Get in shape,-1
1645,Jaseci open source,Fast/OMAD,Get in shape,-1
1646,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Fast/OMAD,Get in shape,-1
